Desciption               From_Node       To_Node         Dijkstra's      Path
Min Chen's office
                            1               1                **
                            14              16               28          14 15 16
                            14              17               28          14 15 17
                            14              18               42          14 15 17 18
                            14              19               56          14 15 17 18 19
                            14              20               56          14 15 17 18 20
                            14              21               70          14 15 17 18 19 21
                            14              22               84          14 15 17 18 19 21 22
                            14              23               84          14 15 17 18 19 21 23

Knuckle stairs landing between floor 0/1
                            15              1                155         15 16 18 19 21 22 1
                            15              2                90          15 16 18 19 21 23 2
                            15              3                109         15 13 3
                            15              4                49          15 14 4
                            15              5                39          15 13 5
                            15              6                194         15 16 10 6
                            15              7                274         15 16 10 6 7
                            15              8                349         15 16 10 6 7 8
                            15              9                144         15 16 10 9
                            15              10               114         15 16 10
                            15              11               142         15 16 18 19 11
                            15              12               172         15 16 18 19 11 12
                            15              13               14          15 13
                            15              14               14          15 14
                            15              15               **
                            15              16               14          15 16
                            15              17               14          15 17
                            15              18               28          15 16 18
                            15              19               42          15 16 18 19
                            15              20               42          15 16 18 20
                            15              21               56          15 16 18 19 21
                            15              22               70          15 16 18 19 21 22
                            15              23               70          15 16 18 19 21 23

Knuckle stairs, Floor 1, south end
                            16              1                141         16 18 19 21 22 1
                            16              2                76          16 18 19 21 23 2
                            16              3                123         16 15 13 3
                            16              4                63          16 15 14 4
                            16              5                53          16 15 14 5
                            16              6                180         16 10 6
                            16              7                260         16 10 6 7
                            16              8                335         16 10 6 7 8
                            16              9                130         16 10 9
                            16              10               100         16 10
                            16              11               128         16 18 19 11
                            16              12               158         16 18 19 11 12
                            16              13               28          16 15 13
                            16              14               28          16 15 14
                            16              15               14          16 15
                            16              16               **
                            16              17               20          16 17
                            16              18               14          16 18
                            16              19               28          16 18 19
                            16              20               28          16 18 20
                            16              21               42          16 18 19 21
                            16              22               56          16 18 19 21 22
                            16              23               56          16 18 19 21 23

Knuckle stairs, Floor 1, north end
                            17              1                141         17 18 19 21 22 1
                            17              2                76          17 18 19 21 23 2
                            17              3                123         17 15 13 3
                            17              4                63          17 15 14 4
                            17              5                53          17 15 14 5
                            17              6                200         17 16 10 6
                            17              7                280         17 16 10 6 7
                            17              8                355         17 16 10 6 7 8
                            17              9                150         17 16 10 9
                            17              10               120         17 16 10
                            17              11               128         17 18 19 11
                            17              12               158         17 18 19 11 12
                            17              13               28          17 15 13
                            17              14               28          17 15 14
                            17              15               14          17 15
                            17              16               20          17 16
                            17              17               **
                            17              18               14          17 18
                            17              19               28          17 18 19
                            17              20               28          17 18 20
                            17              21               42          17 18 19 21
                            17              22               56          17 18 19 21 22
                            17              23               56          17 18 19 21 23

Knuckle stairs landing between floor 1/2
                            18              1                127         18 19 21 22 1
                            18              2                62          18 19 21 23 2
                            18              3                137         18 16 15 13 3
                            18              4                77          18 16 15 14 4
                            18              5                67          18 16 15 14 5
                            18              6                194         18 16 10 6
                            18              7                274         18 16 10 6 7
                            18              8                349         18 16 10 6 7 8
                            18              9                144         18 16 10 9
                            18              10               114         18 16 10
                            18              11               114         18 19 11
                            18              12               144         18 19 11 12
                            18              13               42          18 16 15 13
                            18              14               42          18 16 15 14
                            18              15               28          18 16 15
                            18              16               14          18 16
                            18              17               14          18 17
                            18              18               **
                            18              19               14          18 19
                            18              20               14          18 20
                            18              21               28          18 19 21
                            18              22               42          18 19 21 22
                            18              23               42          18 19 21 23

Knuckle stairs, Floor 2, south end
                            19              1                113         19 21 22 1
                            19              2                48          19 21 23 2
                            19              3                151         19 18 17 15 13 3
                            19              4                91          19 18 17 15 14 4
                            19              5                81          19 18 17 15 14 5
                            19              6                208         19 18 16 10 6
                            19              7                288         19 18 16 10 6 7
                            19              8                363         19 18 16 10 6 7 8
                            19              9                158         19 18 16 10 9
                            19              10               128         19 18 16 10
                            19              11               100         19 11
                            19              12               130         19 11 12
                            19              13               56          19 18 17 15 13
                            19              14               56          19 18 17 15 14
                            19              15               42          19 18 17 15
                            19              16               28          19 18 16
                            19              17               28          19 18 17
                            19              18               14          19 18
                            19              19               **
                            19              20               20          19 20
                            19              21               14          19 21
                            19              22               28          19 21 22
                            19              23               28          19 21 23

Knuckle stairs, Floor 2, north end
                            20              1                133         20 19 21 22 1
                            20              2                68          20 19 21 23 2
                            20              3                151         20 18 17 15 13 3
                            20              4                91          20 18 17 15 14 4
                            20              5                81          20 18 17 15 14 5
                            20              6                208         20 18 16 10 6
                            20              7                288         20 18 16 10 6 7
                            20              8                363         20 18 16 10 6 7 8
                            20              9                158         20 18 16 10 9
                            20              10               128         20 18 16 10
                            20              11               120         20 19 11
                            20              12               150         20 19 11 12
                            20              13               56          20 18 17 15 13
                            20              14               56          20 18 17 15 14
                            20              15               42          20 18 17 15
                            20              16               28          20 18 16
                            20              17               28          20 18 17
                            20              18               14          20 18
                            20              19               20          20 19
                            20              20               **
                            20              21               34          20 19 21
                            20              22               48          20 19 21 22
                            20              23               48          20 19 21 23

Knuckle stairs landing between floor 2/3
                            21              1                99          21 22 1
                            21              2                34          21 23 2
                            21              3                165         21 19 18 17 15 13 3
                            21              4                105         21 19 18 17 15 14 4
                            21              5                95          21 19 18 17 15 14 5
                            21              6                222         21 19 18 16 10 6
                            21              7                302         21 19 18 16 10 6 7
                            21              8                377         21 19 18 16 10 6 7 8
                            21              9                172         21 19 18 16 10 9
                            21              10               142         21 19 18 16 10
                            21              11               114         21 19 11
                            21              12               144         21 19 11 12
                            21              13               70          21 19 18 17 15 13
                            21              14               70          21 19 18 17 15 14
                            21              15               56          21 19 18 17 15
                            21              16               42          21 19 18 16
                            21              17               42          21 19 18 17
                            21              18               28          21 19 18
                            21              19               14          21 19
                            21              20               34          21 19 20
                            21              21               **
                            21              22               14          21 22
                            21              23               14          21 23

Knuckle stairs, Floor 3, south end
                            22              1                85          22 1
                            22              2                40          22 23 2
                            22              3                179         22 21 19 18 17 15 13 3
                            22              4                119         22 21 19 18 17 15 14 4
                            22              5                109         22 21 19 18 17 15 14 5
                            22              6                236         22 21 19 18 16 10 6
                            22              7                316         22 21 19 18 16 10 6 7
                            22              8                391         22 21 19 18 16 10 6 7 8
                            22              9                186         22 21 19 18 16 10 9
                            22              10               156         22 21 19 18 16 10
                            22              11               128         22 21 19 11
                            22              12               158         22 21 19 11 12
                            22              13               84          22 21 19 18 17 15 13
                            22              14               84          22 21 19 18 17 15 14
                            22              15               70          22 21 19 18 17 15
                            22              16               56          22 21 19 18 16
                            22              17               56          22 21 19 18 17
                            22              18               42          22 21 19 18
                            22              19               28          22 21 19
